OTU,d0_otu_biomass,d0_total_biomass,d0_scaled_biomass,early_otu_biomass,early_total_biomass,early_scaled_biomass,late_otu_biomass,late_total_biomass,late_scaled_biomass,early_delta,late_delta,early_type,late_type,genus,family
Otu45,0.0120029706030882,0.79096651724274,0.0151750678965904,0.00383634441846909,0.70837687558537,0.00541568273992415,0.0139903183519483,0.843305172427757,0.0165898642737743,-0.00816662618461914,0.0101539739334792,Displaced,Gained,Muribaculum,Muribaculaceae
Otu19,0.0166644264587139,0.79096651724274,0.0210684347509489,0.00867414298205018,0.70837687558537,0.0122450961924502,0.0158970414841791,0.843305172427757,0.0188508762947745,-0.00799028347666375,0.00722289850212892,Displaced,Gained,Muribaculum,Muribaculaceae
Otu142,0.0138771907463758,0.79096651724274,0.0175445994790663,0,0.70837687558537,0,0,0.843305172427757,0,-0.0138771907463758,0,Displaced,Displaced,Clostridium_sensu_stricto,Clostridiaceae_1
Otu33,0.0200567709156052,0.79096651724274,0.025357294497777,0.0123306618823552,0.70837687558537,0.0174069232174832,0.0266442103109836,0.843305172427757,0.0315949803014711,-0.00772610903325,0.0143135484286285,Displaced,Gained,Muribaculum,Muribaculaceae
Otu59,0.0197715789330518,0.79096651724274,0.0249967331132729,0.00215060478271589,0.70837687558537,0.00303596130370395,0.00773698633508763,0.843305172427757,0.009174598458603,-0.0176209741503359,0.00558638155237174,Displaced,Gained,Muribaculum,Muribaculaceae
Otu44,0.026515904412736,0.79096651724274,0.033523422085133,0.00611459505966849,0.70837687558537,0.00863183888465538,0.00206589684901729,0.843305172427757,0.00244976186149774,-0.0204013093530675,-0.0040486982106512,Displaced,Displaced,Muribaculum,Muribaculaceae
Otu24,0.0253949411752926,0.79096651724274,0.0321062151452603,0.013495856822741,0.70837687558537,0.0190518031966934,0.03012227701468,0.843305172427757,0.0357193077898031,-0.0118990843525516,0.0166264201919389,Displaced,Gained,Muribaculum,Muribaculaceae
Otu25,0.026395505709044,0.79096651724274,0.0333712048912729,0.0182288168372539,0.70837687558537,0.0257332183834918,0.0209383160121659,0.843305172427757,0.0248288717972492,-0.00816668887179011,0.00270949917491198,Displaced,Gained,Muribaculum,Muribaculaceae
Otu8,0.0464695711354575,0.79096651724274,0.0587503644243343,0.029416718494682,0.70837687558537,0.0415269322143997,0.0307783873761964,0.843305172427757,0.0364973302459295,-0.0170528526407755,0.00136166888151443,Displaced,Gained,Paramuribaculum,Muribaculaceae
Otu31,0.0498802879781558,0.79096651724274,0.0630624519379599,0.0103254195633416,0.70837687558537,0.0145761668953538,0.00335133866789952,0.843305172427757,0.00397405207210041,-0.0395548684148142,-0.0069740808954421,Displaced,Displaced,Muribaculum,Muribaculaceae
