,id,sample_id,abundance,abundance_normalized,domain,phylum,class,order,family,genus,species
136,AZC3J_35,sample_1,2145,2192.767361884675,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,
137,AZC3J_35,sample_5,6940,7094.548014675826,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,
138,AZC3J_35,sample_9,1702,1739.9021211784232,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,
139,AZC3J_35,sample_15,4276,4371.222955440034,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,
140,AZC3J_36,sample_1,5435,5668.852334210564,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,
141,AZC3J_36,sample_5,3044,3174.974518001279,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,
142,AZC3J_36,sample_9,8842,9222.445692564821,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,
143,AZC3J_36,sample_15,7025,7327.26543658311,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,
144,AZC3J_37,sample_1,5177,4308.796702561546,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,
145,AZC3J_37,sample_5,1945,1618.815836678039,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,
146,AZC3J_37,sample_9,4285,3566.388617051618,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,
147,AZC3J_37,sample_15,3873,3223.48264033627,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,
148,AZC3J_38,sample_1,333,557.366052087023,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,
149,AZC3J_38,sample_5,466,779.9777185361943,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,
150,AZC3J_38,sample_9,1051,1759.1342965269102,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,
151,AZC3J_38,sample_15,2086,3491.4882422027927,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,
152,AZC3J_39,sample_1,6205,9427.933952269905,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
153,AZC3J_39,sample_5,2888,4388.053707357853,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
154,AZC3J_39,sample_9,20638,31357.566624810035,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
155,AZC3J_39,sample_15,2283,3468.8111543968075,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
156,AZC3J_40,sample_1,1980,3331.643482612115,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
