gene,postFMT_2_jejunum
gene_3815982,485
gene_2947299,484
gene_3125400,484
gene_4624815,483
gene_4560520,482
gene_4405089,478
gene_4475386,478
gene_4638289,478
gene_4549415,476
gene_4304471,475
gene_4449542,475
gene_3839567,475
gene_3826634,473
gene_3788613,473
gene_4631409,473
gene_3203079,473
gene_4145712,472
gene_3703611,472
gene_3203713,471
gene_3163159,470
gene_4214790,469
gene_3224473,469
gene_3122280,469
gene_2242713,467
gene_2668423,466
gene_3340959,465
gene_4265316,464
gene_3877458,464
gene_2264954,463
gene_2945924,461
gene_4339927,461
gene_3706445,460
gene_3591813,460
gene_3681740,457
gene_2155406,457
gene_3504372,457
gene_3737321,455
gene_4582928,455
gene_4207445,455
gene_4104294,455
gene_4103276,454
gene_3296140,454
gene_3647451,453
gene_4606035,452
gene_4239737,452
gene_4401953,451
gene_4021342,451
gene_2244609,450
gene_3031888,450
gene_3896976,450
gene_3549334,448
gene_2348583,448
gene_4156632,448
gene_2839180,447
gene_4559733,446
gene_4082320,445
gene_4483122,445
gene_3147418,445
gene_3950111,443
gene_3916226,443
gene_3534883,443
gene_4471155,442
gene_4335671,442
gene_3794014,440
gene_2870586,440
gene_3930693,440
gene_4094560,440
gene_4363402,439
gene_4237576,438
gene_4414549,437
gene_4258739,435
gene_3920705,434
gene_3120991,434
gene_4247181,434
gene_3561552,433
gene_4491746,432
gene_4306017,431
gene_4633114,431
gene_4498628,431
gene_4227884,431
gene_4438084,430
gene_4438048,429
gene_4192376,428
gene_3723759,428
gene_2731442,427
gene_4253786,427
gene_4267891,427
gene_3169507,426
gene_4347975,425
gene_2207959,424
gene_3178518,424
gene_2836867,423
gene_4348082,423
gene_4285981,422
gene_2974748,422
gene_3015454,421
gene_3394078,421
gene_3697920,419
gene_3251442,419
gene_3987263,419
gene_2891628,419
gene_4545706,419
gene_4015697,419
gene_4559732,418
gene_4251654,417
gene_3491307,416
gene_3283102,416
gene_4019258,414
gene_3894131,413
gene_4460953,413
DSM22607_4_GL0243623,412
gene_2671553,411
gene_4409697,410
gene_4056695,410
gene_4138552,410
gene_4316716,409
gene_4091043,408
gene_4437088,408
gene_2579591,408
gene_3577630,407
gene_2985365,407
gene_3965834,407
gene_4152213,406
gene_4512224,403
gene_2815513,403
gene_4544227,402
gene_3948070,401
gene_4245387,401
gene_3501642,401
gene_4475245,400
gene_4607190,399
gene_3319848,397
gene_3359107,396
gene_4441498,396
gene_3422684,394
gene_2113055,394
gene_4034762,394
gene_3839417,393
gene_4318733,391
gene_2300063,390
gene_3465852,389
gene_2738378,388
gene_3098774,388
gene_4506981,386
gene_4132911,386
gene_4237820,385
gene_4446864,385
gene_3169699,385
gene_3070690,385
gene_3636022,384
gene_2542392,384
gene_3754200,384
gene_2779193,383
gene_4631316,383
gene_3735792,383
gene_3295179,383
gene_4430789,383
gene_4076446,381
gene_4517788,381
gene_3573009,381
gene_3659142,380
gene_2745606,379
gene_4198066,378
gene_2684484,377
gene_4452368,377
gene_4089109,375
gene_4499199,375
gene_2958888,375
gene_4059760,374
gene_2821593,374
gene_2615331,374
gene_3791024,373
gene_2187964,369
gene_3460949,368
gene_3985927,367
gene_4556772,367
gene_4620662,366
gene_3441169,364
gene_3222669,363
gene_3859151,363
gene_3764832,362
gene_4431481,361
gene_4158662,361
gene_4194280,361
gene_2396716,361
gene_3979571,361
gene_3860130,360
gene_3422685,360
gene_4274460,359
gene_2624757,358
gene_4443822,357
gene_4437344,357
gene_3308769,357
gene_3952487,356
gene_3559517,356
gene_2554635,354
gene_4277213,354
gene_4328904,354
gene_4124058,353
gene_3874223,353
gene_4471424,353
gene_4342427,350
gene_4374499,349
gene_3371392,349
gene_3335160,348
gene_4595285,348
gene_2839877,347
gene_4629999,346
gene_3416091,346
gene_3024445,345
