,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00441,0.0,0.0,0.0,0.0,0.0,26.569549648790414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00525,0.0,132.10395899493113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00528,156.77251790302958,201.62428524190886,0.0,0.0,0.0,0.0,355.06698338641587,0.0,0.0,0.0,1780.7636786685862,508.98522519545793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00537,325.60446026013835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.09252019043103,0.0,0.0,0.0,0.0,481.30190239389947,0.0,0.0,0.0,0.0
K00547,0.0,0.0,0.0,0.0,0.0,12.387732151365302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00548,1001.8894263940323,0.0,0.0,0.0,0.0,93.79455962083783,0.0,0.0,0.0,0.0,31.688810807659053,184.69210466795613,0.0,0.0,0.0,84.61828370928559,0.0,0.0,0.0,0.0
K00554,930.6264633836811,471.595785820058,0.0,0.0,0.0,62.79233484632807,0.0,0.0,0.0,0.0,204.9893785237745,88.44811067759744,0.0,0.0,0.0,88.66087675677093,0.0,0.0,0.0,0.0
K00558,6283.818896163781,286.609789264329,0.0,0.0,3164.285610479779,2543.318344415689,419.89249072667434,0.0,0.0,61.72894376345073,6189.328387551795,3609.902549180187,0.0,0.0,6857.331511331043,3372.306850249451,663.7214963107749,0.0,0.0,0.0
K00560,0.0,0.0,0.0,0.0,0.0,27.13087816249725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6377468429724,0.0,0.0,0.0,0.0,115.60682949657387,0.0,0.0,0.0,0.0
K00566,0.0,162.23994964071966,0.0,0.0,0.0,120.86540232390931,0.0,0.0,0.0,0.0,72.78662426409082,68.79297497146467,0.0,0.0,0.0,217.89001122600152,0.0,0.0,0.0,0.0
K00567,0.0,0.0,0.0,0.0,0.0,128.88705438820165,0.0,0.0,0.0,124.12522745947932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00571,671.703527504736,0.0,0.0,0.0,0.0,255.0225888502024,0.0,0.0,0.0,0.0,0.0,124.09882619570159,0.0,0.0,0.0,169.8216506962948,0.0,0.0,0.0,1615.488006617039
K00575,4379.905559985033,0.0,0.0,0.0,0.0,228.80024596312373,0.0,0.0,0.0,0.0,98.8016154459332,180.97844184800704,0.0,0.0,0.0,512.6371066737552,0.0,0.0,0.0,0.0
K00595,182.75327990880595,0.0,0.0,0.0,0.0,94.16874800790981,0.0,0.0,0.0,0.0,153.6502675450149,0.0,0.0,0.0,0.0,236.56587810198263,0.0,0.0,0.0,0.0
K00600,113.56448248097509,0.0,0.0,0.0,0.0,127.77975475433635,0.0,0.0,0.0,0.0,124.32930556115036,55.35811162409628,0.0,0.0,0.0,1430.340068769314,0.0,0.0,0.0,0.0
K00602,177.88125850257137,109.11431907209185,0.0,0.0,0.0,112.00497854164509,0.0,0.0,0.0,486.0613524829115,1023.1095725490509,59.71369908690589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00604,145.96062011661374,177.22389403428932,0.0,0.0,0.0,74.16960550311187,0.0,0.0,0.0,0.0,256.9825853869615,0.0,0.0,0.0,0.0,303.50944121831037,0.0,0.0,0.0,0.0
K00605,0.0,142.68795570965855,0.0,0.0,0.0,42.220106291228596,0.0,0.0,0.0,0.0,70.99678924120335,84.02570514371756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00606,169.93225480729853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.02854700967546,0.0,0.0,0.0,0.0
K00609,1213.986218154376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.32832180159609,154.55045132142553,0.0,0.0,0.0,383.99915715795976,269.232343204468,0.0,0.0,0.0
