OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu315,Bacteria,1.0000,Firmicutes,0.5300,Clostridia,0.3800,Clostridiales,0.3800,Clostridiaceae_3,0.2600,Brassicibacter,0.2600
Otu316,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Marvinbryantia,0.9300
Otu319,Bacteria,1.0000,Firmicutes,0.8100,Clostridia,0.8000,Clostridiales,0.8000,Lachnospiraceae,0.6000,Cellulosilyticum,0.5900
Otu317,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Colidextribacter,0.6500
Otu318,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Neglecta,0.6600
Otu320,Bacteria,1.0000,Firmicutes,0.7800,Clostridia,0.6700,Clostridiales,0.6700,Lachnospiraceae,0.6000,Lachnobacterium,0.5800
Otu321,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Dysosmobacter,0.8500
Otu322,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Blautia,0.3700
Otu323,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9800,Clostridiales,0.9800,Ruminococcaceae,0.9200,Mageeibacillus,0.2700
Otu324,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Clostridium_XlVb,0.3700
Otu326,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.9800,Clostridium_XlVa,0.4800
Otu325,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Oscillibacter,1.0000
